word_norm,word_original,num_entries,num_definitions
jaw,Jaw,11,11
leap,Leap,11,11
leer,Leer,11,11
levy,Levy,11,11
link,Link,11,11
lord,Lord,11,11
lug,Lug,11,11
mind,Mind,11,11
mow,Mow,11,11
muse,Muse,11,11
nip,Nip,11,11
nurse,Nurse,11,11
off,Off,11,11
offer,Offer,11,11
one,One,11,11
ordinary,Ordinary,11,11
paddle,Paddle,11,11
pall,Pall,11,11
palm,Palm,11,11
patch,Patch,11,11
pause,Pause,11,11
period,Period,11,11
picket,Picket,11,11
pledge,Pledge,11,11
plough,Plough,11,11
pole,Pole,11,11
pool,Pool,11,11
port,Port,11,11
pouch,Pouch,11,11
pound,Pound,11,11
precipitate,Precipitate,11,11
private,Private,11,11
prize,Prize,11,11
purge,Purge,11,11
purple,Purple,11,11
ram,Ram,11,11
rape,Rape,11,11
receipt,Receipt,11,11
rider,Rider,11,11
rock,Rock,11,11
rouse,Rouse,11,11
rout,Rout,11,11
rubber,Rubber,11,11
rush,Rush,11,11
rust,Rust,11,11
scrape,Scrape,11,11
see,See,11,11
sell,Sell,11,11
shear,Shear,11,11
sheer,Sheer,11,11
shield,Shield,11,11
shine,Shine,11,11
shiver,Shiver,11,11
shot,Shot,11,11
shroud,Shroud,11,11
singular,Singular,11,11
skin,Skin,11,11
slate,Slate,11,11
sleeper,Sleeper,11,11
slice,Slice,11,11
slur,Slur,11,11
sore,Sore,11,11
space,Space,11,11
span,Span,11,11
spar,Spar,11,11
speak,Speak,11,11
squat,Squat,11,11
staff,Staff,11,11
stave,Stave,11,11
steel,Steel,11,11
stir,Stir,11,11
stitch,Stitch,11,11
strange,Strange,11,11
strength,Strength,11,11
supply,Supply,11,11
tag,Tag,11,11
tang,Tang,11,11
tax,Tax,11,11
tear,Tear,11,11
tell,Tell,11,11
throat,Throat,11,11
thrum,Thrum,11,11
thrust,Thrust,11,11
till,Till,11,11
tire,Tire,11,11
title,Title,11,11
tooth,Tooth,11,11
tract,Tract,11,11
trick,Trick,11,11
truss,Truss,11,11
type,Type,11,11
up,Up,11,11
value,Value,11,11
void,Void,11,11
wait,Wait,11,11
war,War,11,11
wedge,Wedge,11,11
yield,Yield,11,11
abate,Abate,10,10
abortive,Abortive,10,10
absolute,Absolute,10,10
accord,Accord,10,10
affect,Affect,10,10
aggregate,Aggregate,10,10
approach,Approach,10,10
array,Array,10,10
attack,Attack,10,10
attend,Attend,10,10
ban,Ban,10,10
bastard,Bastard,10,10
bead,Bead,10,10
bell,Bell,10,10
belt,Belt,10,10
bid,Bid,10,10
blink,Blink,10,10
blue,Blue,10,10
bluff,Bluff,10,10
bower,Bower,10,10
brand,Brand,10,10
breach,Breach,10,10
breath,Breath,10,10
bubble,Bubble,10,10
buffet,Buffet,10,10
burst,Burst,10,10
by,By,10,10
cadence,Cadence,10,10
canon,Canon,10,10
carve,Carve,10,10
certain,Certain,10,10
chance,Chance,10,10
chip,Chip,10,10
choke,Choke,10,10
circuit,Circuit,10,10
coast,Coast,10,10
cog,Cog,10,10
complement,Complement,10,10
compound,Compound,10,10
concrete,Concrete,10,10
conjugate,Conjugate,10,10
content,Content,10,10
cornet,Cornet,10,10
corrupt,Corrupt,10,10
counterfeit,Counterfeit,10,10
crank,Crank,10,10
crust,Crust,10,10
custom,Custom,10,10
cutter,Cutter,10,10
dark,Dark,10,10
depart,Depart,10,10
deposit,Deposit,10,10
descent,Descent,10,10
design,Design,10,10
devise,Devise,10,10
disk,Disk,10,10
dock,Dock,10,10
dread,Dread,10,10
duck,Duck,10,10
dummy,Dummy,10,10
easy,Easy,10,10
